@relation test

@attribute 'Jenis Kelamin' {PRIA,WANITA}
@attribute Usia {'25 Tahun','31 Tahun','41 Tahun','22 Tahun','23 Tahun','26 Tahun','28 Tahun','30 Tahun','21 Tahun','35 Tahun','29 Tahun','43 Tahun','27 Tahun','20 Tahun','34 Tahun','24 Tahun','33 Tahun','32 Tahun','40 Tahun','36 Tahun','37 Tahun',24Tahun,'38 Tahun','47 Tahun','45 Tahun','50 Tahun','48 Tahun','39 Tahun','42 Tahun','46 Tahun','38 tahun'}
@attribute Pendidikan {'SMA / SLTA',S1,Diploma}
@attribute Profesi {'Swasta Asing / PMA','Wiraswasta Besar / Menengah','Swasta Besar / Menengah','PNS / Instansi / Departemen / Pemda'}
@attribute 'Total Masa Kerja' {'1 - 2 Tahun','> 2 Tahun','< 1 Tahun'}
@attribute 'Status Kerja' {Tetap,Pengusaha,Kontrak}
@attribute 'Status Pernikahan' {'BELUM MENIKAH',MENIKAH}
@attribute 'Jumlah Tanggungan' {'Tidak Ada','1 - 3 Orang','> 3 Orang'}
@attribute 'Status Tmpt Tinggal' {KELUARGA,'SEWA / KONTRAK','MILIK SENDIRI',DINAS}
@attribute 'Total Penghasilan' {'< 2000000','2000000 - 3500000','> 4000000','3600000 - 4000000'}
@attribute 'Kredit Lainnya' {'Kredit Barang','Tidak Ada ','Kredit Kendaraan'}
@attribute Tunggakan {'Tidak Menunggak','Tidak Ada',Menuggak}
@attribute Keterangan {LOLOS,'TIDAK LOLOS'}

@data
PRIA,'25 Tahun','SMA / SLTA','Swasta Asing / PMA','1 - 2 Tahun',Tetap,'BELUM MENIKAH','Tidak Ada',KELUARGA,'< 2000000','Kredit Barang','Tidak Menunggak',LOLOS
WANITA,'31 Tahun','SMA / SLTA','Wiraswasta Besar / Menengah','> 2 Tahun',Pengusaha,MENIKAH,'1 - 3 Orang','SEWA / KONTRAK','< 2000000','Tidak Ada ','Tidak Ada',LOLOS
PRIA,'41 Tahun',S1,'Wiraswasta Besar / Menengah','1 - 2 Tahun',Pengusaha,MENIKAH,'1 - 3 Orang','SEWA / KONTRAK','< 2000000','Tidak Ada ','Tidak Ada',LOLOS
WANITA,'25 Tahun',Diploma,'Wiraswasta Besar / Menengah','1 - 2 Tahun',Pengusaha,MENIKAH,'1 - 3 Orang','SEWA / KONTRAK','< 2000000','Tidak Ada ','Tidak Ada',LOLOS
PRIA,'22 Tahun',Diploma,'Wiraswasta Besar / Menengah','> 2 Tahun',Pengusaha,'BELUM MENIKAH','Tidak Ada','SEWA / KONTRAK','< 2000000','Tidak Ada ','Tidak Ada',LOLOS
WANITA,'23 Tahun',Diploma,'Swasta Besar / Menengah','1 - 2 Tahun',Kontrak,'BELUM MENIKAH','Tidak Ada','SEWA / KONTRAK','2000000 - 3500000','Kredit Barang','Tidak Menunggak','TIDAK LOLOS'
PRIA,'26 Tahun','SMA / SLTA','Wiraswasta Besar / Menengah','1 - 2 Tahun',Pengusaha,'BELUM MENIKAH','Tidak Ada','SEWA / KONTRAK','< 2000000','Tidak Ada ','Tidak Ada',LOLOS
PRIA,'26 Tahun','SMA / SLTA','Wiraswasta Besar / Menengah','> 2 Tahun',Pengusaha,MENIKAH,'1 - 3 Orang','SEWA / KONTRAK','> 4000000','Tidak Ada ','Tidak Ada',LOLOS
PRIA,'28 Tahun',Diploma,'Wiraswasta Besar / Menengah','> 2 Tahun',Pengusaha,MENIKAH,'1 - 3 Orang','SEWA / KONTRAK','> 4000000','Tidak Ada ','Tidak Ada',LOLOS
PRIA,'30 Tahun','SMA / SLTA','Swasta Besar / Menengah','1 - 2 Tahun',Kontrak,'BELUM MENIKAH','Tidak Ada','SEWA / KONTRAK','3600000 - 4000000','Tidak Ada ','Tidak Ada',LOLOS
