@relation 'ujian 3'

@attribute 'Jenis Kelamin' {PRIA,WANITA}
@attribute Usia numeric
@attribute Pendidikan {S1,Diploma,'SMA / SLTA'}
@attribute Profesi {Karyawan,Wiraswasta,'Pegawai Negeri Sipil'}
@attribute 'Total Masa Kerja' {1--2,'> 2','< 1'}
@attribute 'Status Kerja' {Kontrak,Pengusaha,Tetap}
@attribute 'Status Pernikahan' {MENIKAH,'BELUM MENIKAH'}
@attribute 'Jumlah Tanggungan' numeric
@attribute 'Status Tmpt Tinggal' {'MILIK SENDIRI',KELUARGA,'SEWA / KONTRAK',DINAS}
@attribute 'Total Penghasilan' {'2000000 - 3500000','3500000 - 4000000',>4000000}
@attribute 'Kredit Lainnya' {'Kredit Kendaraan','Tidak Ada Kredit Lainnya','Kredit Lainnya'}
@attribute Tunggakan {'Tidak Menunggak','Tidak Ada Tunggakan',Menuggak}
@attribute Keterangan {LOLOS,'TIDAK LOLOS'}

@data
PRIA,41,S1,Karyawan,1--2,Kontrak,MENIKAH,4,'MILIK SENDIRI','2000000 - 3500000','Kredit Kendaraan','Tidak Menunggak',LOLOS
PRIA,29,S1,Wiraswasta,1--2,Pengusaha,'BELUM MENIKAH',0,KELUARGA,'3500000 - 4000000','Tidak Ada Kredit Lainnya','Tidak Ada Tunggakan',LOLOS
PRIA,35,Diploma,Karyawan,1--2,Tetap,MENIKAH,2,'SEWA / KONTRAK','2000000 - 3500000','Kredit Kendaraan',Menuggak,'TIDAK LOLOS'
PRIA,24,'SMA / SLTA',Karyawan,1--2,Tetap,MENIKAH,1,DINAS,'2000000 - 3500000','Tidak Ada Kredit Lainnya','Tidak Ada Tunggakan',LOLOS
PRIA,29,Diploma,Wiraswasta,'> 2',Pengusaha,'BELUM MENIKAH',0,'MILIK SENDIRI','2000000 - 3500000','Tidak Ada Kredit Lainnya','Tidak Ada Tunggakan',LOLOS
PRIA,21,S1,Karyawan,1--2,Tetap,'BELUM MENIKAH',0,'MILIK SENDIRI','3500000 - 4000000','Tidak Ada Kredit Lainnya','Tidak Ada Tunggakan',LOLOS
PRIA,26,Diploma,'Pegawai Negeri Sipil','> 2',Tetap,MENIKAH,3,'MILIK SENDIRI','2000000 - 3500000','Tidak Ada Kredit Lainnya','Tidak Ada Tunggakan',LOLOS
PRIA,29,Diploma,'Pegawai Negeri Sipil','> 2',Tetap,'BELUM MENIKAH',0,'MILIK SENDIRI','2000000 - 3500000','Tidak Ada Kredit Lainnya','Tidak Ada Tunggakan',LOLOS
PRIA,23,Diploma,Wiraswasta,1--2,Pengusaha,'BELUM MENIKAH',0,'MILIK SENDIRI','3500000 - 4000000','Tidak Ada Kredit Lainnya','Tidak Ada Tunggakan',LOLOS
PRIA,33,Diploma,Karyawan,'< 1',Tetap,MENIKAH,2,'MILIK SENDIRI',>4000000,'Tidak Ada Kredit Lainnya','Tidak Ada Tunggakan',LOLOS
